album	artist	genre	release_date	critic	score	body
Kiss Each Other Clean	Iron & Wine	Pop/Rock	2011-01-25 00:00:00	AllMusic	77.0	Kiss Each Other Clean is the result of years of growth and change, and though that sounds incredibly boring, it's also a record full of roiling emotion, tender wit, and deeply felt melodic beauty.
Too True	Dum Dum Girls	Pop/Rock	2014-01-28 00:00:00	Blurt Magazine	72.0	At a half hour, Too True might seem brief, but Penny makes the most of every minute.
Asunder, Sweet and Other Distress	Godspeed You! Black Emperor	Pop/Rock	2015-03-31 00:00:00	The A.V. Club	84.0	Despite its brevity, Asunder has more meat on its bones. And though it calls back to many of the strengths of early GY!BE albums, it also highlights an evolution of intent.
Stuff Like That There	Yo La Tengo	Pop/Rock	2015-08-28 00:00:00	Clash Music	73.0	What ultimately makes Stuff Like That There such an appealing record is the obvious delight in performing these songs.
Easy Listening	Cobra Verde	Indie	2003-05-06 00:00:00	AllMusic	76.0	Other records from 2003 have been more innovative and certainly heavier, but Easy Listening is so golden, so upbeat and so perfectly right out of the Midwest's sleeper hotbed of rock that it simply sounds bigger than life.
Work (Work, Work)	HTRK	Electronic	2011-09-06 00:00:00	Pitchfork	62.0	There's nothing especially bad here, but once the smoke clears from their bland, bassed-out ambiance, HTRK are another band without a sound to call their own.
Somebody's Miracle	Liz Phair	Rock	2005-10-04 00:00:00	The A.V. Club	54.0	While Somebody's Miracle marks an improvement over Liz Phair, there's still nothing revolutionary, or even memorable, happening here.
Melody's Echo Chamber	Melody's Echo Chamber	Pop/Rock	2012-09-25 00:00:00	CinemaNoir	79.0	An absolutely incredible album. Kevin Parker's main project Tame Impala got all of the attention last year, but this is his album that shouldAn absolutely incredible album. Kevin Parker's main project Tame Impala got all of the attention last year, but this is his album that should have been getting the attention. It is a much stronger album, very experimental, with incredible cutting guitar riffs and beautifully brooding synths. The weird noises, the buzzes and the laser sounds fit better with this particular sound than they do on Lonerism. Beatles influences are still present, but don't dominate the record as they did on Lonerism, personally I hear more of a Radiohead influence than a Beatles influence here. I also prefer Melody Prochet's singing to Kevin Parker's but that is all personal preference as both are incredible vocalists. I think this is a much better realized album then Lonerism and is Kevin Parker's best work to date. Incredible album, fans of Tame Impala, Psychedelia and Indie Rock should love this album. 10/10, it's as perfect as an album can get!&hellip;Full Review &raquo;
This Is All Yours	Alt-J	Pop/Rock	2014-09-22 00:00:00	Pitchfork	70.0	"Mallet percussion, multilingual lyrics, chesty vocal huffs, fumbled acoustics, roundabout vocal harmonies, tentative EDM dipping, Asian monasticism, ""Rule Britannia"", American gothic: they all get sucked into the vacuum of This Is All Yours without leaving an impression."
No Need To Be Downhearted	Electric Soft Parade	Indie	2007-04-24 00:00:00	PopMatters	70.0	Tom and Alex White prove to be consummate pop musicians on this release, carefully arranging an arresting collection of songs that carry you from track to track and hook to hook with skill.
Alice	Tom Waits	Rock	2002-05-07 00:00:00	The Wire	90.0	The sense of loss and longing becomes so physical at points that rather than respond, it's simpler to go with it until the ride ends in a drained silence. [#219, p.72]
Flowers	Joan of Arc	Indie	2009-06-09 00:00:00	AllMusic	61.0	"Joan of Arc's work on a whole generally tends to be pretty loose, but sorting through the remnants and mood pieces on Flowers can make ""Boo! Human"" seem absolutely cohesive in comparison. Oh well. It's still totally listenable and likeable."
Minutes To Midnight	Linkin Park	Rock	2007-05-15 00:00:00	The Guardian	56.0	The California rap-rockers are stymied by their decision to stay roughly within the shrieky boundaries of their genre (albeit with less emphasis on the rap).
Conditions	The Temper Trap	Indie	2009-10-13 00:00:00	The Guardian	71.0	With a more conventional singer, they might sound a little prosaic, but for now this is music with a thrilling otherness.
Mad for Sadness	Arab Strap	Indie	2000-07-04 00:00:00	New Musical Express (NME)	82.0	This is a crisp, focused wobble through a primarily 'Philophobia'-derived set with drummer Dave Gow and bassist Gary Miller adding crucial propulsive qualities.
5.0	Nelly	Rap	2010-11-16 00:00:00	Rolling Stone	52.0	He essays a few fashionably global-sounding electro-club tracks, including an Auto-Tuned one with T-Pain and Akon, and at least four numbers where he swipes guys' girlfriends. Keri Hilson and Kelly Rowland help him stretch out; Plies, Yo Gotti and T.I. add muscle
Ta Det Lugnt	Dungen	Indie	2004-06-21 00:00:00	Pitchfork	88.0	An exceedingly triumphant psych-pop oddity.... I doubt 2004 will birth a more blissful sonic encounter than Ta Det Lugnt.
Guilt Show	The Get Up Kids	Indie	2004-03-02 00:00:00	Entertainment Weekly	70.0	Dark but guitar-driven, it proves [On A Wire's] soft sentiment might have worked better with a little more hard rock. [5 Mar 2004, p.68]
Going Way Out With Heavy Trash	Heavy Trash	Indie	2007-09-04 00:00:00	Urb	69.0	They've delivered  highly re-playable 13 song study in the G blues chord's progression, spanning '50s hillbilly rock, '60s garage and '70s glam and punk. [Sep/Oct 2007, p.129]
True [EP]	Solange	R&B;	2013-01-08 00:00:00	BBC Music	79.0	This is a fully realised tribute to early 80s pop-RnB music, filled with candy-sweet keyboard sounds and beats that could be the work of a battered old Casio drum machine.
Ski Mask	Islands	Pop/Rock	2013-09-17 00:00:00	Under The Radar	70.0	In Ski Mask, Nick Thorburn has composed a record that captures the essence of his curious, unconventional indie pop band. [Aug-Sep 2013, p.91]
The View from the Bottom	Lit	Pop/Rock	2012-06-19 00:00:00	GrizzleFist	59.0	"Great Album, they've taken an almost 8 year break from making any new music due to several tragedies including the death of their drummer.Great Album, they've taken an almost 8 year break from making any new music due to several tragedies including the death of their drummer. Most ""Professional"" reviewers are the same ones that give people like Justin Bieber and Lady GaGa pefect scores of 10's on their albums, so why listen to them about this one when they give it 5s and 6's? Give it a try and Itunes for free if your not sure if you will like it. There old albums are also all amazing.&hellip;Full Review &raquo;"
Future Crayon	Broadcast	Indie	2006-08-22 00:00:00	Pitchfork	76.0	Here's the first full-length Broadcast product that pulls back the veil and lets us hear big stretches of what it's like when they're trying sounds out, getting abstract, being well and truly difficult.
Chaos And Creation In The Backyard	Paul McCartney	Rock	2005-09-13 00:00:00	Blender	78.0	It's rather straight where [his 1970 debut] was eccentric and charming. [Oct 2005, p.139]
I Think We're Gonna Need A Bigger Boat	The BPA (Brighton Port Authority)	Indie	2009-01-06 00:00:00	Spin	58.0	"Iggy Pop's deadpan delivery on ""He's Frank"" sets the tone for an album that sometimes gets a little goofy, while the danceable ""Toe Jam"" pairs David Byrne with Dizzee Rascal (finally!). The lesser-known guests offer more misses than hits."
Stronger With Each Tear	Mary J. Blige	Pop	2009-12-21 00:00:00	Slant Magazine	75.0	"Blige's frequent problems with pitch control [on ""I Can See in Color""] mar what should have been the album's finest moment. Instead, the song is just indicative of the larger problem with Stronger: None of the elements that actually work ever manage to do so at the same time."
Overdrive	Shonen Knife	Pop/Rock	2014-04-15 00:00:00	Drowned In Sound	67.0	There’s nothing on Overdrive that’s going to change your mind about Shonen Knife; if nothing else, it’s impressive that they’ve managed to spin so many records out of such a derivative sound.
Cupid Deluxe	Blood Orange	Pop/Rock	2013-11-19 00:00:00	Consequence of Sound	75.0	Though the second half of Cupid Deluxe occasionally meanders and loses the immediacy of the first four songs, there are bright spots throughout. Hynes’s production is top notch, providing crisp treatments for his diverse, moody, NYC-inspired pop songs.
Upside Down Mountain	Conor Oberst	Pop/Rock	2014-05-19 00:00:00	The 405	75.0	Upside Down Mountain suggests that he's starting to move into a new period of his career where he can use his wisdom to write songs that are passionate in a new, more mature way, without having to try to dredge up an old fire that doesn't quite burn as violently anymore.
We Are The Pipettes	The Pipettes	Rock	2007-10-02 00:00:00	New Musical Express (NME)	73.0	Faux-feminist tracks such as 'Dirty Mind' are more Austin Powers than Phil Spector, too self-conscious to hit the heart-bursting heights of the originals, too much a pastiche to forge anything new. [15 Jul 2006, p.37]
Ode To J. Smith	Travis	Rock	2008-11-04 00:00:00	unknown2000	66.0	travis is always great band!!!!!!!!!!! it's shame that they are not known like coldplay or radiohead but the actually they're of free bandstravis is always great band!!!!!!!!!!! it's shame that they are not known like coldplay or radiohead but the actually they're of free bands who prefer artistry rather than sales and fame..........&hellip;Full Review &raquo;
Rise Ye Sunken Ships	We Are Augustines	Pop/Rock	2011-08-23 00:00:00	Consequence of Sound	72.0	Like triumphant, tragic heroes of classic literature, Sanderson and McCarthy rose.
Re-Arrange Us	Mates of State	Indie	2008-05-20 00:00:00	The A.V. Club	71.0	The Mates recapture a bit of brio of 'The Re-Arranger' and 'Help Help,' but the rest of Re-Arrange Us is only useful for putting the kids to sleep.
Negotiations	The Helio Sequence	Alternative/Indie Rock	2012-09-10 00:00:00	Q Magazine	65.0	Too much of the material is lightweight, ultimately making this an exercised in what might have been. [Oct 2012, p.101]
Little Wild One	Joan Osborne	Rock	2008-09-09 00:00:00	Entertainment Weekly	65.0	An earthy soul-rock set that redeems Joan Osborne's occasionally mushy songwriting with full-blooded singing and deep roots-music grooves
Skimskitta	Mira Calix	Electronic	2003-03-11 00:00:00	Ink 19	70.0	Skimskitta's refusal or lack of ability to move beyond sketchy hisses and glitches makes for a too sprawling, too unfocused affair.
The London Sessions	Mary J. Blige	R&B;	2014-12-02 00:00:00	Mojo	74.0	While The London Sessions takes her in fresh new directions, Blige's own identity remains the dominant flavour. [Jan 2015, p.98]
Workout Holiday	White Denim	Indie	2008-06-23 00:00:00	Observer Music Monthly	76.0	One of the most exciting things about White Denim is the way they balance unfettered extravagance with constructive constriction.
Everybody's Got It Easy But Me	The Intelligence	Pop/Rock	2012-05-29 00:00:00	The A.V. Club	69.0	The Intelligence is spread a little too thin throughout.
Grand Champ	DMX	Rap	2003-09-16 00:00:00	Q Magazine	58.0	There's plenty here to test the patience of even the sternest fan. [Dec 2003, p.122]
Post Electric Blues	Idlewild	Alternative/Indie Rock	2010-10-12 00:00:00	AllMusic	72.0	On Post Electric Blues, they're a worldly pop/rock band, showing off their Scottish roots on the Celtic numbers and channeling the American heartland.
Manifest!	Friends	Pop/Rock	2012-06-05 00:00:00	BBC Music	70.0	[Singles] I'm His Girl and Friend Crush both appear here, and though they're highlights, they don't eclipse the rest of this generally impressive debut LP.
On Oni Pond	Man Man	Pop/Rock	2013-09-10 00:00:00	Tiny Mix Tapes	73.0	in the end, most of it turns out hypo-real, turns out less enticing and engaging than its eroding object, and this more than anything else is what makes On Oni Pond such a disappointment.
